,book title,ratings,avg_score,author,score,votes
3983,Shadow Crossing (Shielder #4),258,3.97,Catherine Spangler,"87,",1
3984,Besos de murciélago,"3,569",3.40,Silvia Hervás,"87,",1
3985,"Settling the Score (The Summer Games, #1)","11,794",3.94,R.S. Grey,"87,",2
3986,"Release (Fire on Ice, #5)","1,712",4.24,Brenda Rothert,"87,",1
3987,Fighting Redemption,"11,596",4.19,Kate  McCarthy,"87,",1
3988,"From Summer and Fall (The Four Seasons, #1)",184,3.80,Alora Kate,"87,",1
3989,"A Kiss to Remember (Once Upon a Time, #3)","5,118",3.89,Teresa Medeiros,"87,",1
3990,Nineteen Letters,"2,079",4.39,Jodi Perry,"87,",1
3991,Wildflower Bay: Part One,601,3.68,Rachael Lucas,"87,",1
3992,"Manwhore (Manwhore, #1)","31,009",4.07,Katy Evans,"87,",1
3993,"In His Keeping (Slow Burn, #2)","7,931",3.87,Maya Banks,"87,",1
3994,True North (After Hours #3),260,3.82,Tamsen Parker,"87,",1
3995,Hate to Love You,"20,100",3.94,Tijan,"87,",1
3996,Breathe In,324,4.34,Michelle Bellon,"87,",1
3997,"Reckless Abandon (Abandon Collection, #2)",497,4.23,Jeannine Colette,"87,",1
3998,A Song for the Stars,"1,439",3.97,Ilima Todd,"87,",1
3999,"Enduring (Family Justice, #8)",373,4.71,Suzanne Halliday,"87,",1
4000,Heard It in a Love Song,"7,756",3.59,Tracey Garvis Graves,"87,",1
4001,The Forbidden Moments We Share,47,3.85,Candace Campbell,"87,",1
4002,"Runabout (Wild Oats, #2)",976,3.98,Pamela Morsi,"87,",1
4003,"Sick Heart (Sick World, #1)","3,470",4.13,J.A. Huss,"87,",1
4004,"Savage Paradise (Chippewa, #5)",274,4.23,Cassie Edwards,"87,",1
4005,"The Empire of Gold (The Daevabad Trilogy, #3)","75,674",4.49,S.A. Chakraborty,"87,",1
4006,Cinder,"2,957",3.79,Marie Sexton,"87,",1
4007,"The Ballad of Songbirds and Snakes (The Hunger Games, #0)","1,199,004",3.99,Suzanne Collins,"87,",1
4008,RoomHate,"73,589",3.83,Penelope Ward,"87,",1
